lage,einheiten,kw,mwh,vlh_gewichtet,vlh_median,mwh_je_anlage_median,kw_mittel,nabe_mittel
an Land,26344.0,59783087.5,99242176.1,1660.0,1441.5,3030.1,2269.3,102.8
auf See,1637.0,9215093.0,26093096.7,2831.6,2936.1,14168.1,5629.3,96.1
