Landkreis,anzahl,leistung_mw
Südliche Weinstraße,17,40.4
Hochtaunuskreis,17,52.1
Kronach,17,27.4
Darmstadt-Dieburg,17,25.4
Mönchengladbach,16,35.3
Erlangen-Höchstadt,16,40.5
Regensburg,16,30.3
Pfaffenhofen a.d. Ilm,16,41.0
Pinneberg,16,45.9
Kitzingen,16,27.7
Nürnberger Land,15,42.9
Bergstraße,15,48.8
Bad Dürkheim,14,30.0
Krefeld,14,16.1
Miltenberg,14,30.1
Ravensburg,14,65.5
Rhein-Lahn-Kreis,13,9.8
Aichach-Friedberg,13,27.6
Erding,13,0.1
Frankfurt (Oder),13,21.6
Schwerin,13,19.5
Dillingen a.d. Donau,13,27.2
Donau-Ries,12,46.1
Unterallgäu,12,6.6
Schwarzwald-Baar-Kreis,12,28.0
Coburg,12,45.0
Traunstein,12,17.2
Schwandorf,12,30.0
Enzkreis,12,33.0
Lörrach,11,26.9
Landshut,11,14.5
München,11,16.2
Landsberg am Lech,11,32.7
Oldenburg (Oldb),10,22.4
Ennepe-Ruhr-Kreis,10,9.2
Rems-Murr-Kreis,10,21.7
Chemnitz,10,13.1
Roth,10,21.5
Ulm,9,18.0
Wolfsburg,9,5.2
Saarpfalz-Kreis,9,16.0
Ahrweiler,9,13.2
Mainz,9,22.1
Cham,9,0.8
Passau,9,0.6
Augsburg,9,16.7
Dachau,9,20.5
Ludwigsburg,8,2.5
Halle (Saale),8,13.0
Günzburg,8,7.2
Dortmund,8,16.4
Rottal-Inn,8,2.2
Neustadt a.d. Waldnaab,8,10.7
Biberach,8,3.7
Berlin,8,16.6
Worms,8,22.5
Wuppertal,8,9.4
Altenkirchen (Westerwald),8,19.3
Bottrop,8,17.8
Ilm-Kreis,8,6.4
Regionalverband Saarbrücken,8,27.8
Köln,7,16.6
Ebersberg,7,6.6
Freyung-Grafenau,7,0.2
Hildburghausen,7,14.5
Bielefeld,7,15.3
Kelheim,6,9.2
Dessau-Roßlau,6,10.2
Gera,6,10.7
Saalfeld-Rudolstadt,6,10.4
Dingolfing-Landau,6,1.5
Magdeburg,6,15.8
Zollernalbkreis,6,6.0
Mettmann,6,7.2
Braunschweig,5,7.1
Karlsruhe,5,5.7
Neuburg-Schrobenhausen,5,5.9
Esslingen,5,2.3
Delmenhorst,5,8.2
Lichtenfels,5,12.5
Rhein-Sieg-Kreis,5,3.2
Freising,5,17.3
Starnberg,5,12.0
Straubing-Bogen,5,11.4
Aschaffenburg,4,0.0
Konstanz,4,9.9
Waldshut,4,0.0
Freiburg im Breisgau,4,18.3
Regen,3,0.0
Neu-Ulm,3,2.0
Fürstenfeldbruck,3,6.1
Bad Tölz-Wolfratshausen,2,0.0
Deggendorf,2,0.0
Rheinisch-Bergischer Kreis,2,0.3
Weilheim-Schongau,2,0.6
Pirmasens,2,6.6
Remscheid,2,1.5
Dresden,2,0.6
Rhein-Neckar-Kreis,2,0.0
Neuwied,2,0.0
Mühldorf a. Inn,2,0.0
Miesbach,2,5.6
Nürnberg,2,0.0
Gelsenkirchen,2,4.6
Tübingen,2,0.0
Schmalkalden-Meiningen,2,0.6
Rosenheim,2,5.6
Koblenz,2,0.0
Pforzheim,1,0.0
Kiel,1,0.1
Sonneberg,1,0.0
Oberhausen,1,0.0
Offenbach,1,0.0
Stuttgart,1,0.0
Baden-Baden,1,0.0
Bodenseekreis,1,0.0
Kaufbeuren,1,0.0
Jena,1,0.0
Duisburg,1,2.3
Schwabach,1,0.0
Böblingen,1,0.0
Rastatt,1,0.0
Forchheim,1,1.5
Essen,1,0.0
Mannheim,1,0.0
